scenario,n,p,best_traditional_learner,best_traditional_rmse,best_traditional_coverage,best_traditional_runtime_seconds,tabiclv2_rmse,tabiclv2_coverage,tabiclv2_runtime_seconds,rmse_difference_tab_minus_traditional,tabiclv2_improvement_percent,tabiclv2_wins
linear,500,10,ensemble,0.0373033526777467,0.95,200.09154746,0.036092741872529,1.0,2.934809564999921,-0.001210610805217699,3.245313673748924,True
linear,500,50,lasso,0.0402652360405408,0.95,0.0902159299999311,0.0452237763326755,0.95,4.003099484999984,0.004958540292134696,-12.314693218592385,False
linear,500,100,lasso,0.0474649087798785,0.95,0.0918203849999372,0.0463552879301902,0.9,4.177989745000014,-0.0011096208496883045,2.337770951660817,True
linear,1000,10,lasso,0.0286910413297052,0.95,0.0641980899999907,0.0302940563823511,0.95,3.8120997649999935,0.0016030150526458974,-5.587162327866503,False
linear,1000,50,ensemble,0.0313779190872062,0.95,1076.9286269449997,0.0310278619734984,0.95,4.16425565999989,-0.0003500571137077975,1.1156160889283675,True
linear,1000,100,lasso,0.0363421224292439,0.9,0.0987855799998214,0.0390586470996812,0.85,4.361401099999966,0.002716524670437301,-7.474865222102049,False
linear,2000,10,lasso,0.0218545763513064,1.0,0.0780774749977354,0.0211862129495126,1.0,3.756096359999992,-0.0006683634017938013,3.058230875996132,True
linear,2000,50,ensemble,0.0195989328868443,1.0,2177.7699422550004,0.0206682341206076,1.0,4.331798894999883,0.001069301233763302,-5.4559155844707545,False
linear,2000,100,lasso,0.0260121748941781,0.85,0.1390272999982698,0.0269329862510341,0.85,5.220354905000022,0.0009208113568560002,-3.539924518430372,False
linear,5000,10,lasso,0.0123834171200548,0.95,0.0914974799990886,0.0126621968491967,0.95,4.42296179,0.00027877972914189947,-2.2512342630405215,False
linear,5000,50,lasso,0.0135325065034107,0.95,0.1597347700007958,0.0135447860895064,0.95,6.110974929999975,1.2279586095700207e-05,-0.09074140176917919,False
linear,5000,100,ensemble,0.0144587675556747,0.9,9783.11729324,0.0143043841422921,0.9,8.129737900000146,-0.00015438341338259998,1.0677494661155156,True
mixed,500,10,ensemble,0.059836243897796,0.9,272.3774245300039,0.0574285985620136,0.85,3.601930230000016,-0.002407645335782402,4.023724049081037,True
mixed,500,50,ensemble,0.0431494424527802,1.0,767.7290663900145,0.0537266797251547,0.9,3.805620670000189,0.010577237272374501,-24.513033474185686,False
mixed,500,100,ensemble,0.0479359843553953,0.95,2292.2984808150154,0.0547136908320053,0.85,4.032224605000101,0.006777706476610003,-14.139078539329416,False
mixed,1000,10,ensemble,0.0373259008578949,0.95,379.0080860499962,0.0320861878311559,0.95,3.745335109999997,-0.005239713026739,14.037740299121902,True
mixed,1000,50,ensemble,0.0328846021234062,1.0,1370.524998564992,0.0329549751554531,0.95,4.34888173499985,7.037303204689843e-05,-0.21399994983308365,False
mixed,1000,100,ensemble,0.0341194191502181,0.95,4468.724153760008,0.0281122412915979,1.0,4.430392050000227,-0.006007177858620198,17.606330964112555,True
mixed,2000,10,ensemble,0.0334746860170727,0.85,493.03896516000094,0.0292069409109366,0.9,3.8026240600002894,-0.0042677451061361,12.749171430493693,True
mixed,2000,50,ensemble,0.0279290281956869,0.85,6551.801460025012,0.0219667902119032,0.95,4.415776610000103,-0.005962237983783699,21.34781755386839,True
mixed,2000,100,ensemble,0.0234770200695324,1.0,6102.495120205009,0.0204507416275272,0.95,5.30373823000009,-0.0030262784420052,12.890385717787888,True
mixed,5000,10,ensemble,0.0142987245462872,0.95,1010.308751505008,0.0134700424895579,0.95,4.621714725000038,-0.0008286820567293008,5.795496332884292,True
mixed,5000,50,ensemble,0.0188843618749288,0.9,5363.15001147,0.0177287543199688,0.9,6.2111743550000025,-0.0011556075549599976,6.119388955865127,True
mixed,5000,100,ensemble,0.0181346182728239,0.85,19096.789157739982,0.0136925863786293,0.9,8.181386669999847,-0.004442031894194601,24.4947637020368,True
smooth,500,10,xgboost,0.0465142413771523,0.9,39.0313844549979,0.0504294906256255,0.95,3.612756295000054,0.003915249248473203,-8.417312918697553,False
smooth,500,50,xgboost,0.065635141089306,0.85,166.25372202999569,0.0574013225659423,0.9,3.8273474999998154,-0.008233818523363703,12.544832519153749,True
smooth,500,100,xgboost,0.0573816372975586,1.0,332.9056157949992,0.0594688124687756,0.85,3.963749590000225,0.0020871751712169956,-3.637357296714498,False
smooth,1000,10,ensemble,0.036928843238788,0.9,455.03860531500106,0.0435175322542237,0.9,3.7042694349999694,0.006588689015435703,-17.841579745220155,False
smooth,1000,50,xgboost,0.0480614204789095,0.85,207.17989300500196,0.0358192151584937,0.95,4.206791239999712,-0.012242205320415804,25.4720006159368,True
smooth,1000,100,xgboost,0.0320839445972822,0.95,411.9985500449984,0.0259478926160408,0.95,4.381075699999565,-0.006136051981241401,19.12499244797094,True
smooth,2000,10,ensemble,0.0207010476764051,0.95,673.4798806149993,0.0193803305563038,0.95,3.759991199999877,-0.0013207171201012995,6.379953037867949,True
