stage,scenario,n,p,learner,tabicl_estimators,success_count,failure_count,oom_count,bias,rmse,empirical_sd,mean_standard_error,coverage,mean_interval_length,mean_runtime_seconds,mean_l_mse,mean_m_mse,bias_mcse
stage1,linear,500,10,ensemble,0,20,0,0,-0.00806881364386584,0.03730335267774678,0.03736638465929283,0.0449733180939141,0.95,0.17629216745867038,200.09154745999996,0.04932042459116331,0.027253697030565138,0.008355377617158408
stage1,linear,500,10,lasso,0,20,0,0,-0.006478287085193729,0.03795214223878427,0.038366609618736884,0.04493272919831094,0.95,0.17613306191156147,0.14738787499993578,0.04232726619766602,0.023242971620124155,0.008579034717369295
stage1,linear,500,10,mlp,0,20,0,0,-0.04873341281531715,0.06449801492664302,0.043347414235384914,0.04606959312600143,0.75,0.18058948661875365,3.1759097300000976,0.2053874615488031,0.10744538375603623,0.009692776487916274
stage1,linear,500,10,random_forest,0,20,0,0,-0.04032385079926935,0.05321007000678711,0.035619311835390494,0.045742068688866364,0.9,0.1793056144170707,29.39422191000005,0.26863112266096295,0.16517354997654105,0.007964720257569594
stage1,linear,500,10,tabiclv2,1,20,0,0,-0.005566370415972915,0.03609274187252909,0.036587336553414736,0.04511647001249624,1.0,0.176853312668148,2.934809564999921,0.04948706091547146,0.022970621926850798,0.008181177164909821
stage1,linear,500,10,xgboost,0,20,0,0,-0.030744690859305285,0.053499766565868585,0.04492085445323375,0.04645539336694639,0.9,0.18210179577371172,26.11253474499996,0.39660312941450043,0.2014781736499957,0.010044608416480482
stage1,linear,500,50,ensemble,0,20,0,0,-0.02172340033165867,0.040583430308990566,0.035170392657149704,0.04556801585589315,0.95,0.17862333984900142,797.2106028750002,0.07977177760923235,0.04319621154914031,0.007864338877674619
stage1,linear,500,50,lasso,0,20,0,0,-0.0203594506118732,0.040265236040540865,0.035641223976016836,0.04553768326871696,0.95,0.17850443829215487,0.09021592999993118,0.07585034642976739,0.04013610789627638,0.007969619961166899
stage1,linear,500,50,mlp,0,20,0,0,-0.1353917886286164,0.14519905575183406,0.05382065112524702,0.05073030524288498,0.3,0.19885914240155608,5.2967754950001105,0.8702988244430173,0.44606261178603746,0.012034663450935287
stage1,linear,500,50,random_forest,0,20,0,0,-0.07652281636475725,0.08377011529406028,0.03496902075575784,0.04636000640141021,0.6,0.1817278857396208,93.62280115999984,0.3388661400247034,0.22533580746119197,0.00781931075164756
stage1,linear,500,50,tabiclv2,1,20,0,0,-0.021729794942001095,0.04522377633267555,0.040691470172590075,0.04557699255103713,0.95,0.17865852784736616,4.003099484999984,0.08158272462278146,0.042755384545509686,0.00909888934103165
stage1,linear,500,50,xgboost,0,20,0,0,-0.06253708023781279,0.07429731322574346,0.041157008073622256,0.04673430028625664,0.65,0.18319509080748592,159.832564465,0.40666075888047093,0.22457078083583756,0.009202986780312703
stage1,linear,500,100,ensemble,0,20,0,0,0.0047242752111930075,0.04853798068087803,0.049562472988576384,0.0437429239092683,0.95,0.17146911088128375,1181.8380058100006,0.09731169779602701,0.04740439534111121,0.011082505873545395
stage1,linear,500,100,lasso,0,20,0,0,0.005502648884154027,0.04746490877987856,0.048369612260721485,0.04365285345870135,0.95,0.1711160412029188,0.09182038499993724,0.09280158464931254,0.04587317556611049,0.010815774106028051
stage1,linear,500,100,mlp,0,20,0,0,-0.14161596748314242,0.15309304452224495,0.05966924655221543,0.05093011123996817,0.25,0.1996423675179124,6.443913470000188,1.691898355688958,0.7425477703147968,0.013342449145694865
stage1,linear,500,100,random_forest,0,20,0,0,-0.04512877655967489,0.06699306193817868,0.050798506754675614,0.04517878922348498,0.75,0.1770975994863137,148.68848474500018,0.3798973357171853,0.2366006979307424,0.01135889142589369
stage1,linear,500,100,tabiclv2,1,20,0,0,0.0037961983074214444,0.04635528793019024,0.04739977345606058,0.04402334141432523,0.9,0.1725683273023761,4.177989745000014,0.10656582523731142,0.04730118368163675,0.010598911556584158
stage1,linear,500,100,xgboost,0,20,0,0,-0.03083190590885711,0.06407624389343267,0.05763002332956639,0.04616918096559021,0.8,0.18097986377653802,276.807700115,0.4408294871990033,0.2274920327015597,0.012886464970980921
stage1,linear,1000,10,ensemble,0,20,0,0,0.005888301391476914,0.029620183134541404,0.02978313114299686,0.031931438643162564,0.95,0.12516893943029825,319.7745466300001,0.02335912701683895,0.009982861710214045,0.0066597105818531985
stage1,linear,1000,10,lasso,0,20,0,0,0.006182618463209227,0.02869104132970529,0.02874481338151544,0.031905595493139274,0.95,0.12506763614371288,0.06419808999999077,0.01917831984342936,0.00842641984664234,0.0064275356721614114
stage1,linear,1000,10,mlp,0,20,0,0,-0.02534812318406281,0.0383215567598619,0.02948709554587342,0.03282168706884213,0.8,0.12865864913354916,5.096881159999884,0.12475113307239871,0.06446107025015194,0.006593515009960423
stage1,linear,1000,10,random_forest,0,20,0,0,-0.024694690039336487,0.04121997783577083,0.03386130933897914,0.03253967695952094,0.9,0.12755318981845773,51.39142892999989,0.20386546676439243,0.11384029557663741,0.0075716189489105825
stage1,linear,1000,10,tabiclv2,1,20,0,0,0.004705986915573146,0.030294056382351168,0.03070373780173019,0.03195470744319148,0.95,0.1252601514503386,3.8120997649999935,0.020750672525608187,0.009346452050038246,0.006865564488799866
stage1,linear,1000,10,xgboost,0,20,0,0,-0.01563078670177484,0.03538802546086705,0.0325736550492248,0.03248941947607926,0.95,0.12735618410345906,36.707026839999614,0.24222739288270848,0.12332061754211379,0.00728369069656959
stage1,linear,1000,50,ensemble,0,20,0,0,-0.010151361694610655,0.031377919087206246,0.030461773490694406,0.031811700018153005,0.95,0.12469957264514413,1076.9286269449997,0.03542129636796415,0.02109493219819777,0.006811459624039375
stage1,linear,1000,50,lasso,0,20,0,0,-0.00958416568588461,0.031400817799923327,0.030679242538674826,0.03176748856627377,0.95,0.12452626693836906,0.07647741999962818,0.0328650694917445,0.019582730692922816,0.0068600871814680124
stage1,linear,1000,50,mlp,0,20,0,0,-0.1260184553370693,0.1304015925195493,0.03439590315404991,0.034362723315548925,0.0,0.1346994002183814,6.824123559999952,0.5290605146057556,0.28242786227184385,0.007691157759995502
stage1,linear,1000,50,random_forest,0,20,0,0,-0.048618471852840114,0.055597603942188635,0.02766981556644566,0.032898561756875666,0.75,0.12895999237328615,168.1593326600004,0.2399122937534719,0.14649623457071148,0.006187158853145434
stage1,linear,1000,50,tabiclv2,1,20,0,0,-0.007741639318579718,0.031027861973498407,0.03082711109102521,0.03198793365092682,0.95,0.1253903957913468,4.16425565999989,0.03410215154921943,0.016799724184061417,0.006893151594947007
stage1,linear,1000,50,xgboost,0,20,0,0,-0.032192997756460826,0.04417282236969356,0.031032226569317943,0.03278783216316489,0.85,0.1285259403418944,149.40093084500023,0.27850042343751247,0.14184107730262657,0.006939016810217
stage1,linear,1000,100,ensemble,0,20,0,0,0.0031347973915976323,0.03717071992223431,0.03800049119974524,0.03170118726407707,0.9,0.12426637060950185,2278.9986435500005,0.05099077567243625,0.027040419500003743,0.008497168150101288
stage1,linear,1000,100,lasso,0,20,0,0,0.0030366645339530594,0.036342122429243964,0.037155838687888736,0.03168621398454498,0.9,0.12420767643227507,0.09878557999982149,0.04684271821701476,0.026521930033484863,0.00830829810671358
stage1,linear,1000,100,mlp,0,20,0,0,-0.17213566826853738,0.17530465882351973,0.034043858940377404,0.03643941528908766,0.0,0.1428398831686201,10.656571810000514,1.0559490742905324,0.5173810978524871,0.0076124382807097836
stage1,linear,1000,100,random_forest,0,20,0,0,-0.04812950775434971,0.06352779201545557,0.04254200205225012,0.03246940095561217,0.65,0.12727771294518056,325.4478705199996,0.27545968543530797,0.16337589746943493,0.009512680848776683
stage1,linear,1000,100,tabiclv2,1,20,0,0,0.002127569191427231,0.0390586470996812,0.040013831327010495,0.0319241740687389,0.85,0.1251404628218315,4.361401099999966,0.04995838849367329,0.022944764468951984,0.008947364688740607
stage1,linear,1000,100,xgboost,0,20,0,0,-0.03307959832819356,0.05258097355563908,0.041933518241493564,0.03283295738967326,0.75,0.12870282797939564,317.4825000350005,0.29673869901224054,0.1503982113007922,0.009376619732370705
stage1,linear,2000,10,ensemble,0,20,0,0,0.002008452811332878,0.022301646967854347,0.022788029516519044,0.021966332464641983,1.0,0.08610644100626252,610.218268074998,0.013688652080730104,0.005490025715705235,0.005095558307220824
stage1,linear,2000,10,lasso,0,20,0,0,0.002817634542770947,0.021854576351306425,0.02223518887468965,0.021951743529357158,1.0,0.08604925343080042,0.0780774749977354,0.011665951230501848,0.004730419135733394,0.004971939381635311
stage1,linear,2000,10,mlp,0,20,0,0,-0.023264522309365814,0.031349972715138376,0.021559777143583612,0.022466662401090978,0.8,0.08806769831791703,7.777428305002286,0.08088173314653554,0.04425614975084518,0.0048209127272799196
stage1,linear,2000,10,random_forest,0,20,0,0,-0.024308272890032772,0.03337376738115207,0.023461417786273062,0.022328930451476808,0.7,0.08752779899638848,109.63963260499767,0.14544077910261338,0.08236568462376223,0.00524613250186292
stage1,linear,2000,10,tabiclv2,1,20,0,0,0.0017821096454429196,0.021186212949512635,0.021659559803898335,0.02197012960673833,1.0,0.08612132552976855,3.7560963599999924,0.011843968845072435,0.0053197731414597535,0.004843224808423869
stage1,linear,2000,10,xgboost,0,20,0,0,-0.010717480939437918,0.025406585012526742,0.023633833114760517,0.02227883199554328,0.9,0.08733141665776692,53.87085510999877,0.15059974569016168,0.07620923003146203,0.00528468574134901
stage1,linear,2000,50,ensemble,0,20,0,0,-0.003296958717974413,0.01959893288684432,0.019821525606880285,0.02240076703454573,1.0,0.08780939322756347,2177.7699422550004,0.022527607241297605,0.009831637364354271,0.004432227867473709
stage1,linear,2000,50,lasso,0,20,0,0,-0.0030521933953946813,0.019610320697209103,0.019874574959361013,0.022388401756513188,1.0,0.08776092222835825,0.1010356899976614,0.021379803740792524,0.009162344582095151,0.0044440900633046345
stage1,linear,2000,50,mlp,0,20,0,0,-0.11961714442991818,0.12226119267372917,0.02594605724909852,0.024560810168410406,0.0,0.09627660672241904,9.313527665000583,0.36720371069482155,0.19238946952932806,0.005801714775708548
stage1,linear,2000,50,random_forest,0,20,0,0,-0.040904637591921464,0.0448527000825237,0.018878429020456333,0.022850518427519687,0.6,0.08957238629201483,466.72127131000013,0.1724032516182306,0.10800753111260974,0.004221345059814512
stage1,linear,2000,50,tabiclv2,1,20,0,0,-0.0044642822776348404,0.02066823412060767,0.02070459103448077,0.022428522751480193,1.0,0.08791819363867674,4.331798894999883,0.017597204759288686,0.007826736482303523,0.00462968729994317
stage1,linear,2000,50,xgboost,0,20,0,0,-0.02341649908700321,0.03243042228453764,0.02301943938367636,0.02280011465689098,0.75,0.08937480714178028,238.1087566599992,0.16899948625158692,0.08653491152102541,0.00514730312658362
