config,learner,covered,n,coverage,exact_ci_lower,exact_ci_upper,p_value_vs_095,nominal_inside_exact_ci
linear_n2000_p50,ensemble,94,100,0.94,0.8739700654191771,0.9776651139286836,0.6418395311598754,True
linear_n2000_p50,tabiclv2_1,93,100,0.93,0.8610802715441426,0.9713947110925613,0.35224899717028907,True
linear_n2000_p50,lasso,94,100,0.94,0.8739700654191771,0.9776651139286836,0.6418395311598754,True
linear_n2000_p50,tabiclv2_8,93,100,0.93,0.8610802715441426,0.9713947110925613,0.35224899717028907,True
linear_n2000_p50,xgboost,83,100,0.83,0.7418245893678413,0.8977350899644719,9.429030653736625e-06,False
linear_n2000_p50,random_forest,69,100,0.69,0.5896854458398008,0.7787112078693289,1.0108323132423248e-16,False
linear_n2000_p50,mlp,1,100,0.01,0.00025314603297742086,0.05445938539208066,1.4996245808252754e-127,False
smooth_n500_p50,tabiclv2_1,94,100,0.94,0.8739700654191771,0.9776651139286836,0.6418395311598754,True
smooth_n500_p50,tabiclv2_8,94,100,0.94,0.8739700654191771,0.9776651139286836,0.6418395311598754,True
smooth_n500_p50,ensemble,95,100,0.95,0.8871650888945373,0.9835681208179479,1.0,True
smooth_n500_p50,random_forest,91,100,0.91,0.836017744970365,0.9580164043716077,0.10017079995480403,True
smooth_n500_p50,xgboost,88,100,0.88,0.7997643163800312,0.9364310974388407,0.0042741824663659524,False
smooth_n500_p50,mlp,67,100,0.67,0.5688272492224368,0.7608014653773981,1.230745968588351e-18,False
smooth_n500_p50,lasso,1,100,0.01,0.00025314603297742086,0.05445938539208066,1.4996245808252754e-127,False
smooth_n1000_p50,tabiclv2_8,95,100,0.95,0.8871650888945373,0.9835681208179479,1.0,True
smooth_n1000_p50,tabiclv2_1,95,100,0.95,0.8871650888945373,0.9835681208179479,1.0,True
smooth_n1000_p50,ensemble,95,100,0.95,0.8871650888945373,0.9835681208179479,1.0,True
smooth_n1000_p50,xgboost,94,100,0.94,0.8739700654191771,0.9776651139286836,0.6418395311598754,True
smooth_n1000_p50,random_forest,93,100,0.93,0.8610802715441426,0.9713947110925613,0.35224899717028907,True
smooth_n1000_p50,mlp,60,100,0.6,0.4972091504223348,0.6967052312971226,6.238625307670775e-26,False
smooth_n1000_p50,lasso,0,100,0.0,0.0,0.03621669264517641,7.888609052210819e-131,False
smooth_n1000_p100,tabiclv2_1,91,100,0.91,0.836017744970365,0.9580164043716077,0.10017079995480403,True
smooth_n1000_p100,tabiclv2_8,92,100,0.92,0.848442364135579,0.9648284374818372,0.16504168794773458,True
smooth_n1000_p100,ensemble,90,100,0.9,0.8237774022599773,0.9509953107785141,0.034108823383750285,True
smooth_n1000_p100,xgboost,90,100,0.9,0.8237774022599773,0.9509953107785141,0.034108823383750285,True
smooth_n1000_p100,random_forest,86,100,0.86,0.7762720186294323,0.9212945950730342,0.00046327338320382126,False
smooth_n1000_p100,mlp,63,100,0.63,0.5276483594483168,0.7244334203854484,1.0764600283750142e-22,False
smooth_n1000_p100,lasso,0,100,0.0,0.0,0.03621669264517641,7.888609052210819e-131,False
tree_n2000_p10,xgboost,42,100,0.42,0.32198553935479696,0.5228808042760862,1.1813087972717109e-48,False
tree_n2000_p10,ensemble,24,100,0.24,0.1602246131714471,0.3357354892709986,3.1342710664856486e-77,False
tree_n2000_p10,lasso,7,100,0.07,0.02860528890743869,0.13891972845585732,1.1331966626842703e-111,False
tree_n2000_p10,mlp,8,100,0.08,0.035171562518162815,0.15155763586442092,2.5044759634365654e-109,False
tree_n2000_p10,tabiclv2_1,1,100,0.01,0.00025314603297742086,0.05445938539208066,1.4996245808252754e-127,False
tree_n2000_p10,random_forest,1,100,0.01,0.00025314603297742086,0.05445938539208066,1.4996245808252754e-127,False
tree_n2000_p10,tabiclv2_8,1,100,0.01,0.00025314603297742086,0.05445938539208066,1.4996245808252754e-127,False
tree_n5000_p10,xgboost,25,100,0.25,0.16877973809934188,0.34655249575880825,1.812026107050376e-75,False
tree_n5000_p10,ensemble,17,100,0.17,0.10226491003552826,0.25817541063215865,2.9059580981035276e-90,False
tree_n5000_p10,lasso,0,100,0.0,0.0,0.03621669264517641,7.888609052210819e-131,False
tree_n5000_p10,mlp,0,100,0.0,0.0,0.03621669264517641,7.888609052210819e-131,False
tree_n5000_p10,random_forest,0,100,0.0,0.0,0.03621669264517641,7.888609052210819e-131,False
tree_n5000_p10,tabiclv2_1,0,100,0.0,0.0,0.03621669264517641,7.888609052210819e-131,False
tree_n5000_p10,tabiclv2_8,0,100,0.0,0.0,0.03621669264517641,7.888609052210819e-131,False
tree_n5000_p50,lasso,0,100,0.0,0.0,0.03621669264517641,7.888609052210819e-131,False
tree_n5000_p50,xgboost,0,100,0.0,0.0,0.03621669264517641,7.888609052210819e-131,False
tree_n5000_p50,tabiclv2_1,0,100,0.0,0.0,0.03621669264517641,7.888609052210819e-131,False
tree_n5000_p50,ensemble,0,100,0.0,0.0,0.03621669264517641,7.888609052210819e-131,False
tree_n5000_p50,tabiclv2_8,0,100,0.0,0.0,0.03621669264517641,7.888609052210819e-131,False
tree_n5000_p50,mlp,0,100,0.0,0.0,0.03621669264517641,7.888609052210819e-131,False
tree_n5000_p50,random_forest,0,100,0.0,0.0,0.03621669264517641,7.888609052210819e-131,False
