stage,scenario,n,p,learner,tabicl_estimators,success_count,failure_count,oom_count,bias,rmse,empirical_sd,mean_standard_error,coverage,mean_interval_length,mean_runtime_seconds,mean_l_mse,mean_m_mse,bias_mcse,config,abs_bias,coverage_gap,rmse_rank,runtime_rank,coverage_rank,mean_nuisance_error_product
stage2,linear,2000,50,ensemble,0,100,0,0,0.0033036212317459,0.0247876985950603,0.0246903262534485,0.0224119571150428,0.94,0.0878532575370803,3296.3446144940017,0.0233061372028053,0.0104273312889271,0.0024690326253448,linear_n2000_p50,0.0033036212317459,0.01,1.0,7.0,1.0,0.01531812661209948
stage2,linear,2000,50,tabiclv2_1,1,100,0,0,0.0020414383818978,0.0249515172735219,0.0249931453953137,0.0224324115199605,0.93,0.087933437331008,4.900957251001382,0.0179031865103248,0.0086712637386141,0.0024993145395313,linear_n2000_p50,0.0020414383818978,0.0199999999999999,2.0,2.0,3.0,0.012323527112636448
stage2,linear,2000,50,lasso,0,100,0,0,0.0034855518338065,0.0249913811453297,0.0248717936863579,0.0224044050349676,0.94,0.087823653927169,0.1160781490034423,0.0218588127176173,0.0097171504839584,0.0024871793686357,linear_n2000_p50,0.0034855518338065,0.01,3.0,1.0,1.0,0.014310028674122123
stage2,linear,2000,50,tabiclv2_8,8,100,0,0,0.0027908097741716,0.0250152222965886,0.0249842925878093,0.0224272666351633,0.93,0.087913269753194,13.521743524005869,0.0164452288730414,0.0072190572155991,0.0024984292587809,linear_n2000_p50,0.0027908097741716,0.0199999999999999,4.0,4.0,3.0,0.010757583703469617
stage2,linear,2000,50,xgboost,0,100,0,0,-0.017927414933082,0.0311887578260985,0.0256500616998121,0.0228741368121168,0.83,0.0896649686583819,555.3958624450024,0.1729605404151592,0.0885597197887482,0.0025650061699812,linear_n2000_p50,0.017927414933082,0.12,5.0,5.0,5.0,0.12364833606010359
stage2,linear,2000,50,random_forest,0,100,0,0,-0.0315927946581108,0.0400762512187287,0.0247819019463372,0.0228942025006961,0.69,0.0897436247122626,731.0385355470039,0.1722099961404057,0.1056530169912462,0.0024781901946337,linear_n2000_p50,0.0315927946581108,0.26,6.0,6.0,6.0,0.13476246329968772
stage2,linear,2000,50,mlp,0,100,0,0,-0.1098335690372207,0.1132019891056768,0.0275475245918619,0.0246033690688843,0.01,0.0964434345467203,10.398382420991547,0.3694799747873303,0.1938328710338079,0.0027547524591861,linear_n2000_p50,0.1098335690372207,0.94,7.0,3.0,7.0,0.2673978916342225
stage2,smooth,500,50,tabiclv2_1,1,100,0,0,0.0021316127847724,0.0496940658029605,0.0498984463935468,0.05004100242859,0.94,0.1961571250206355,4.28641352899489,0.4497182217198701,0.0928620889846884,0.0049898446393546,smooth_n500_p50,0.0021316127847724,0.01,1.0,3.0,2.0,0.20310730420517029
stage2,smooth,500,50,tabiclv2_8,8,100,0,0,0.0022963014751647,0.0496996325331965,0.0498966656794742,0.0500652617298369,0.94,0.1962522197341039,9.445156072999817,0.4435457389220248,0.0880559447642936,0.0049896665679474,smooth_n500_p50,0.0022963014751647,0.01,2.0,4.0,2.0,0.19646190686684012
stage2,smooth,500,50,ensemble,0,100,0,0,-0.0007431460400161,0.0578278462425507,0.0581143729072187,0.0523232750897539,0.95,0.2051034694581989,1237.6950630849983,0.8292624900175507,0.2393007256063581,0.0058114372907218,smooth_n500_p50,0.0007431460400161,0.0,3.0,7.0,1.0,0.4443991686175917
stage2,smooth,500,50,random_forest,0,100,0,0,-0.0094824111908805,0.0599535826012571,0.0594971856115037,0.0530638468848596,0.91,0.2080064575509456,115.51602207999676,0.8561942607081964,0.2430047363324557,0.0059497185611503,smooth_n500_p50,0.0094824111908805,0.0399999999999999,4.0,5.0,4.0,0.45493636845787827
stage2,smooth,500,50,xgboost,0,100,0,0,-0.004297279815055,0.0610323797363459,0.0611876131459433,0.0525949682841785,0.88,0.2061684872100325,176.64206216099905,0.908110778575402,0.2727818723505811,0.0061187613145943,smooth_n500_p50,0.004297279815055,0.0699999999999999,5.0,6.0,5.0,0.4966959722293182
stage2,smooth,500,50,mlp,0,100,0,0,0.0775210239153508,0.0952712460973984,0.0556604168517245,0.0533169206081223,0.67,0.2089984883170024,3.763560632991138,2.916115857497098,1.0027066727548564,0.0055660416851724,smooth_n500_p50,0.0775210239153508,0.2799999999999999,6.0,2.0,6.0,1.7088404345853159
stage2,smooth,500,50,lasso,0,100,0,0,0.2336349715348716,0.2390048062134535,0.0506323395380974,0.0501269434709374,0.01,0.1964940077162253,0.1002354909980204,2.453386605166369,0.647192148261741,0.0050632339538097,smooth_n500_p50,0.2336349715348716,0.94,7.0,1.0,7.0,1.259628717458297
