config,tab_model,comparator,n,tab_rmse,comparator_rmse,rmse_improvement_pct,mean_squared_error_difference,difference_ci_lower,difference_ci_upper,paired_p_value,tab_abs_error_win_rate,holm_p_value,direction,significant_005
linear_n2000_p50,tabiclv2_1,lasso,100,0.02495151727352195,0.024991381145329714,0.1595104791365726,-1.990917300277113e-06,-3.9596938455431466e-05,3.5615103854877244e-05,0.9165507977089574,0.51,1.0,tab_better,False
linear_n2000_p50,tabiclv2_1,random_forest,100,0.02495151727352195,0.04007625121872871,37.739892043940884,-0.00098352769749579,-0.0013229191176401685,-0.0006441362773514115,9.928217032358998e-08,0.69,3.0777472800312896e-06,tab_better,True
linear_n2000_p50,tabiclv2_1,xgboost,100,0.02495151727352195,0.03118875782609856,19.998361548587624,-0.00035016040048415985,-0.0005888197290150951,-0.00011150107195322456,0.004447819386411414,0.58,0.08450856834181686,tab_better,False
linear_n2000_p50,tabiclv2_1,mlp,100,0.02495151727352195,0.11320198910567686,77.95841091605811,-0.012192112123230918,-0.013373319743516708,-0.011010904502945128,2.25860333395095e-37,0.98,1.174473733654494e-35,tab_better,True
linear_n2000_p50,tabiclv2_1,ensemble,100,0.02495151727352195,0.024787698595060303,-0.6608870034198875,8.148212611309984e-06,-3.0587742766550526e-05,4.6884167989170494e-05,0.6773003167720647,0.47,1.0,traditional_better,False
linear_n2000_p50,tabiclv2_8,lasso,100,0.025015222296588632,0.024991381145329714,-0.09539749372104656,1.1922149966034955e-06,-3.489764719815067e-05,3.7282077191357655e-05,0.9478699849698872,0.51,1.0,traditional_better,False
linear_n2000_p50,tabiclv2_8,random_forest,100,0.025015222296588632,0.04007625121872871,37.58093250773329,-0.0009803445651989096,-0.0013242066662987565,-0.0006364824640990626,1.4978114527175218e-07,0.68,4.493434358152565e-06,tab_better,True
linear_n2000_p50,tabiclv2_8,xgboost,100,0.025015222296588632,0.03118875782609856,19.79410518345155,-0.0003469772681872792,-0.0005889612254595556,-0.00010499331091500281,0.005395277190426605,0.58,0.09171971223725228,tab_better,False
linear_n2000_p50,tabiclv2_8,mlp,100,0.025015222296588632,0.11320198910567686,77.90213538276585,-0.012188928990934034,-0.013374334805086674,-0.011003523176781395,3.065829811222698e-37,0.99,1.563573203723576e-35,tab_better,True
linear_n2000_p50,tabiclv2_8,ensemble,100,0.025015222296588632,0.024787698595060303,-0.9178895759756808,1.1331344908190586e-05,-2.586749316132718e-05,4.8530182977708355e-05,0.546944934539437,0.46,1.0,traditional_better,False
smooth_n1000_p100,tabiclv2_1,lasso,100,0.0379411639395885,0.2272953507290304,83.3075494866501,-0.05022364454194221,-0.05350016520773723,-0.04694712387614719,4.983361737933546e-52,1.0,3.139517894898134e-50,tab_better,True
smooth_n1000_p100,tabiclv2_1,random_forest,100,0.0379411639395885,0.04943188334875479,23.245562642427117,-0.0010039791703141702,-0.0015338509664877872,-0.00047410737414055315,0.00028803560592311064,0.68,0.007776961359923987,tab_better,True
smooth_n1000_p100,tabiclv2_1,xgboost,100,0.0379411639395885,0.04499912504969459,15.684662984695066,-0.0005853893341473206,-0.0009888608069689065,-0.00018191786132573472,0.004890910070257954,0.64,0.08803638126464317,tab_better,False
smooth_n1000_p100,tabiclv2_1,mlp,100,0.0379411639395885,0.07547493884717626,49.73011635502903,-0.004256934472894267,-0.005587399273588615,-0.0029264696721999182,6.604306290752361e-09,0.82,2.179421075948279e-07,tab_better,True
smooth_n1000_p100,tabiclv2_1,ensemble,100,0.0379411639395885,0.04305148060221948,11.870246019755994,-0.00041389806095254943,-0.000800645207048914,-2.7150914856184877e-05,0.03620325115103906,0.58,0.3982357626614297,tab_better,False
smooth_n1000_p100,tabiclv2_8,lasso,100,0.038194555184741893,0.2272953507290304,83.19606843596398,-0.050204352417272655,-0.05348546456364216,-0.04692324027090315,5.84646225519825e-52,1.0,3.624806598222915e-50,tab_better,True
smooth_n1000_p100,tabiclv2_8,random_forest,100,0.038194555184741893,0.04943188334875479,22.732955741804588,-0.0009846870456446067,-0.0015156223248905271,-0.00045375176639868644,0.0003797187757710427,0.66,0.00987268817004711,tab_better,True
smooth_n1000_p100,tabiclv2_8,xgboost,100,0.038194555184741893,0.04499912504969459,15.121560380203169,-0.0005660972094777569,-0.0009748993345514772,-0.0001572950844040365,0.007132398711801823,0.59,0.11411837938882917,tab_better,False
smooth_n1000_p100,tabiclv2_8,mlp,100,0.038194555184741893,0.07547493884717626,49.39438737131105,-0.004237642348224703,-0.0055716741867471034,-0.002903610509702303,8.152193564382838e-09,0.79,2.608701940602508e-07,tab_better,True
smooth_n1000_p100,tabiclv2_8,ensemble,100,0.038194555184741893,0.04305148060221948,11.281668712753149,-0.00039460593628298584,-0.000779802151046033,-9.409721519938676e-06,0.0447614941657173,0.55,0.44761494165717297,tab_better,False
smooth_n1000_p50,tabiclv2_1,lasso,100,0.0358297969757176,0.22973925590025496,84.40414685103983,-0.0514963513502817,-0.054492275138977364,-0.04850042756158604,1.576869451678495e-56,1.0,1.0249651435910217e-54,tab_better,True
smooth_n1000_p50,tabiclv2_1,random_forest,100,0.0358297969757176,0.043023369957752716,16.72015230117707,-0.0005672360112005164,-0.0009462989566460584,-0.0001881730657549743,0.003745424904789639,0.55,0.07490849809579278,tab_better,False
smooth_n1000_p50,tabiclv2_1,xgboost,100,0.0358297969757176,0.04013243809466369,10.72110572698598,-0.00032683823610087066,-0.0006562591859946684,2.582713792927051e-06,0.05178825446152445,0.52,0.46609429015372006,tab_better,False
smooth_n1000_p50,tabiclv2_1,mlp,100,0.0358297969757176,0.07715735052333637,53.56269139272632,-0.004669482388459855,-0.005905127401741885,-0.003433837375177826,2.803037278480172e-11,0.79,1.0371237930376636e-09,tab_better,True
smooth_n1000_p50,tabiclv2_1,ensemble,100,0.0358297969757176,0.03775295796809919,5.094067050339832,-0.00014151148401992186,-0.00039514242578030806,0.00011211945774046431,0.2709424800383539,0.54,1.0,tab_better,False
smooth_n1000_p50,tabiclv2_8,lasso,100,0.0351234753060439,0.22973925590025496,84.71159177024003,-0.05154646718402855,-0.054531503138504855,-0.04856143122955224,1.034603489343174e-56,1.0,6.828383029664948e-55,tab_better,True
smooth_n1000_p50,tabiclv2_8,random_forest,100,0.0351234753060439,0.043023369957752716,18.36186858320538,-0.0006173518449473829,-0.0009968089521919929,-0.0002378947377027729,0.001690109626312535,0.6,0.03718241177887577,tab_better,True
smooth_n1000_p50,tabiclv2_8,xgboost,100,0.0351234753060439,0.04013243809466369,12.48108270124217,-0.0003769540698477373,-0.0007093099726842518,-4.4598167011222745e-05,0.02663115645623914,0.48,0.31957387747486965,tab_better,False
smooth_n1000_p50,tabiclv2_8,mlp,100,0.0351234753060439,0.07715735052333637,54.47812156870169,-0.00471959822220672,-0.005940593391639372,-0.0034986030527740684,1.2151701426496194e-11,0.78,4.6176465420685536e-10,tab_better,True
smooth_n1000_p50,tabiclv2_8,ensemble,100,0.0351234753060439,0.03775295796809919,6.964971232922121,-0.00019162731776678848,-0.0004370424492575938,5.378781372401682e-05,0.12449224751130152,0.52,0.9959379800904121,tab_better,False
smooth_n500_p50,tabiclv2_1,lasso,100,0.04969406580296058,0.2390048062134535,79.20792197016357,-0.05465379721710149,-0.059287758213075074,-0.0500198362211279,3.9235501583803454e-42,0.99,2.2364235902767966e-40,tab_better,True
smooth_n500_p50,tabiclv2_1,random_forest,100,0.04969406580296058,0.05995358260125718,17.112433241114545,-0.0011249318906967904,-0.0018183004290710982,-0.00043156335232248275,0.001738627632097925,0.72,0.03718241177887577,tab_better,True
smooth_n500_p50,tabiclv2_1,xgboost,100,0.04969406580296058,0.0610323797363459,18.57753864811721,-0.0012554512002525481,-0.0020147107775829705,-0.000496191622922126,0.0014293336760973212,0.66,0.03287467455023839,tab_better,True
smooth_n500_p50,tabiclv2_1,mlp,100,0.04969406580296058,0.09527124609739845,47.83938718282644,-0.006607110156922083,-0.00857777250524721,-0.004636447808596957,1.604102796636042e-09,0.8,5.603498520495704e-08,tab_better,True
smooth_n500_p50,tabiclv2_1,ensemble,100,0.04969406580296058,0.0578278462425507,14.065508173128439,-0.0008745596250231079,-0.0015388318243461099,-0.000210287425700106,0.010392123820211298,0.68,0.13509760966274686,tab_better,False
smooth_n500_p50,tabiclv2_8,lasso,100,0.049699632533196564,0.2390048062134535,79.20559284117067,-0.054653243919195696,-0.05929489182100854,-0.05001159601738285,4.5132890044904047e-42,0.99,2.5274418425146265e-40,tab_better,True
smooth_n500_p50,tabiclv2_8,random_forest,100,0.049699632533196564,0.05995358260125718,17.10314817424372,-0.001124378592790997,-0.0017843650449690031,-0.00046439214061299076,0.001037009623453995,0.67,0.025816502794783168,tab_better,True
smooth_n500_p50,tabiclv2_8,xgboost,100,0.049699632533196564,0.0610323797363459,18.568417702383112,-0.0012548979023467544,-0.0019912155215047727,-0.0005185802831887363,0.0010326601117913268,0.65,0.025816502794783168,tab_better,True
smooth_n500_p50,tabiclv2_8,mlp,100,0.049699632533196564,0.09527124609739845,47.83354414994505,-0.006606556859016288,-0.008576932026453085,-0.004636181691579492,1.600999577284487e-09,0.81,5.603498520495704e-08,tab_better,True
smooth_n500_p50,tabiclv2_8,ensemble,100,0.049699632533196564,0.0578278462425507,14.05588178965112,-0.000874006327117314,-0.001517652466201632,-0.00023036018803299595,0.008285564030547019,0.65,0.12428346045820528,tab_better,False
tree_n2000_p10,tabiclv2_1,lasso,100,0.09997468059436664,0.0759121243794943,-31.697909143710145,0.0042322861321378155,0.003602504238879556,0.004862068025396075,7.815941313753173e-24,0.07,3.3608547649138644e-22,traditional_better,True
tree_n2000_p10,tabiclv2_1,random_forest,100,0.09997468059436664,0.10053816653311376,0.5604696785091376,-0.00011298616989448791,-0.0005492814210920389,0.00032330908130306305,0.6085038698958143,0.5,1.0,tab_better,False
tree_n2000_p10,tabiclv2_1,xgboost,100,0.09997468059436664,0.056600535333787186,-76.63204067733903,0.006791316159874338,0.0062565993715725824,0.007326032948176094,7.294996250471437e-45,0.0,4.2310978252734334e-43,traditional_better,True
tree_n2000_p10,tabiclv2_1,mlp,100,0.09997468059436664,0.07701240056864993,-29.81634107775645,0.004064026918599437,0.0034050467323683397,0.004723007104830534,1.6021264257141526e-21,0.12,6.568718345428026e-20,traditional_better,True
tree_n2000_p10,tabiclv2_1,ensemble,100,0.09997468059436664,0.06853153817692029,-45.881273431034145,0.005298365035050945,0.004826348419804713,0.005770381650297177,2.422816228693227e-40,0.0,1.3083207634943426e-38,traditional_better,True
tree_n2000_p10,tabiclv2_8,lasso,100,0.10156416375598284,0.0759121243794943,-33.79175538317274,0.004552628731644286,0.003957820341368447,0.005147437121920125,1.3159278809172661e-27,0.05,6.184861040311151e-26,traditional_better,True
tree_n2000_p10,tabiclv2_8,random_forest,100,0.10156416375598284,0.10053816653311376,-1.020505205385019,0.00020735642961198294,-0.00021550223455265612,0.000630215093776622,0.33292626203094844,0.44,1.0,traditional_better,False
tree_n2000_p10,tabiclv2_8,xgboost,100,0.10156416375598284,0.056600535333787186,-79.44028825351943,0.007111658759380806,0.006561365289888984,0.007661952228872629,1.637574198371266e-45,0.0,9.66168777039047e-44,traditional_better,True
tree_n2000_p10,tabiclv2_8,mlp,100,0.10156416375598284,0.07701240056864993,-31.880272535391402,0.004384369518105909,0.0037349635714415985,0.00503377546477022,5.814437226427378e-24,0.08,2.558352379628046e-22,traditional_better,True
tree_n2000_p10,tabiclv2_8,ensemble,100,0.10156416375598284,0.06853153817692029,-48.20061895267239,0.005618707634557418,0.005128305835299773,0.006109109433815063,4.4250660551188717e-41,0.0,2.4337863303153796e-39,traditional_better,True
tree_n5000_p10,tabiclv2_1,lasso,100,0.0936333803495538,0.07308802605963258,-28.11042437123457,0.003425350362390677,0.003033062842316969,0.003817637882464385,9.765415586156253e-32,0.03,4.785053637216564e-30,traditional_better,True
tree_n5000_p10,tabiclv2_1,random_forest,100,0.0936333803495538,0.08335785491441064,-12.327003190873574,0.0018186779397522746,0.0014923211675427592,0.00214503471196179,5.48414012133789e-19,0.13,2.1388146473217772e-17,traditional_better,True
tree_n5000_p10,tabiclv2_1,xgboost,100,0.0936333803495538,0.04378442088946406,-113.8509050649223,0.006850134403058471,0.006476169502044745,0.007224099304072197,4.60800851954885e-59,0.0,3.2256059636841946e-57,traditional_better,True
tree_n5000_p10,tabiclv2_1,mlp,100,0.0936333803495538,0.0754182825955044,-24.152098307175173,0.0030792925660288475,0.0026329483915447337,0.0035256367405129612,1.437506827094335e-24,0.08,6.612531404633941e-23,traditional_better,True
tree_n5000_p10,tabiclv2_1,ensemble,100,0.0936333803495538,0.04748662171632321,-97.1784409278539,0.006512230673655028,0.0061516592731515295,0.006872802074158527,1.6901111388631347e-58,0.0,1.166176685815563e-56,traditional_better,True
tree_n5000_p10,tabiclv2_8,lasso,100,0.09626745583859973,0.07308802605963258,-31.71440115246106,0.0039255635003432165,0.003514479814616367,0.0043366471860700655,1.0586893419583252e-34,0.05,5.293446709791626e-33,traditional_better,True
tree_n5000_p10,tabiclv2_8,random_forest,100,0.09626745583859973,0.08335785491441064,-15.486963930926828,0.0023188910777048152,0.00197015844188853,0.0026676237135211003,1.5339776429749095e-23,0.11,6.44270610049462e-22,traditional_better,True
tree_n5000_p10,tabiclv2_8,xgboost,100,0.09626745583859973,0.04378442088946406,-119.86691586405057,0.007350347541011012,0.006931277971828126,0.007769417110193898,2.484246864329675e-57,0.0,1.689287867744179e-55,traditional_better,True
tree_n5000_p10,tabiclv2_8,mlp,100,0.09626745583859973,0.0754182825955044,-27.644720252935233,0.0035795057039813873,0.0031222119261956355,0.004036799481767139,2.735634229886032e-28,0.07,1.3131044303452954e-26,traditional_better,True
tree_n5000_p10,tabiclv2_8,ensemble,100,0.09626745583859973,0.04748662171632321,-102.7254253075418,0.0070124438116075695,0.006610463167657423,0.007414424455557716,4.083552451127826e-57,0.0,2.7359801422556436e-55,traditional_better,True
tree_n5000_p50,tabiclv2_1,lasso,100,0.1067655447239615,0.0712165502511504,-49.91676000514624,0.006327084510529596,0.00585170708809989,0.006802461932959303,1.2824352502901013e-46,0.0,7.694611501740608e-45,traditional_better,True
tree_n5000_p50,tabiclv2_1,random_forest,100,0.1067655447239615,0.1297014623304687,17.683622986507547,-0.005423587790457767,-0.005790757088141886,-0.005056418492773647,1.3533861016929925e-50,1.0,8.255655220327254e-49,tab_better,True
tree_n5000_p50,tabiclv2_1,xgboost,100,0.1067655447239615,0.10126337836714472,-5.433520435065778,0.0011446097418767104,0.0007096011415133667,0.001579618342240054,9.841478088508099e-07,0.31,2.8540286456673487e-05,traditional_better,True
tree_n5000_p50,tabiclv2_1,mlp,100,0.1067655447239615,0.12215416355143245,12.597703082786563,-0.003522758132745883,-0.004143150551497311,-0.0029023657139944543,1.9313574478973893e-19,0.86,7.725429791589557e-18,tab_better,True
tree_n5000_p50,tabiclv2_1,ensemble,100,0.1067655447239615,0.10915488783707615,2.1889474309945354,-0.0005159079985204493,-0.0008996490012580158,-0.00013216699578288282,0.008925731602522932,0.62,0.12496024243532104,tab_better,False
tree_n5000_p50,tabiclv2_8,lasso,100,0.11567749914938245,0.0712165502511504,-62.430641110019025,0.008309486779780747,0.007803081996423321,0.008815891563138173,1.0781563851353781e-54,0.0,6.90020086486642e-53,traditional_better,True
tree_n5000_p50,tabiclv2_8,random_forest,100,0.11567749914938245,0.1297014623304687,10.812494268842038,-0.0034411855212066176,-0.0037605990031644976,-0.0031217720392487376,7.056156425902236e-39,0.98,3.739762905728185e-37,tab_better,True
tree_n5000_p50,tabiclv2_8,xgboost,100,0.11567749914938245,0.10126337836714472,-14.23428786858888,0.0031270120111278597,0.002672032225517826,0.003581991796737893,1.8386252716361293e-24,0.07,8.273813722362581e-23,traditional_better,True
tree_n5000_p50,tabiclv2_8,mlp,100,0.11567749914938245,0.12215416355143245,5.302041464450802,-0.0015403558634947325,-0.002179996943039924,-0.0009007147839495413,6.14257231114092e-06,0.65,0.00017199202471194578,tab_better,True
tree_n5000_p50,tabiclv2_8,ensemble,100,0.11567749914938245,0.10915488783707615,-5.975555874366258,0.0014664942707307005,0.0010745799510421285,0.0018584085904192725,4.008228687510074e-11,0.25,1.4429623275036268e-09,traditional_better,True
