stage,scenario,n,p,learner_l,learner_m,learner_l_config_hash,learner_m_config_hash,success_count,bias,rmse,empirical_sd,mean_standard_error,coverage,mean_interval_length,mean_l_mse,mean_m_mse,mean_lm_error_cross,mean_theta_proxy,mean_proxy_error,mean_runtime_seconds,bias_mcse,coverage_mcse
stage3b_confirmation,tree,2000,10,oracle,extra_trees,default,b9229924fb46,50,-0.1705583710692542,0.17169469266105797,0.019921005890556193,0.02194316692350204,0.0,0.08601563375362914,0.0,0.2013816423404597,0.0,0.8324177128456889,-0.0029760839149429643,5.486919787945226,0.0028172556706538886,0.0
stage3b_confirmation,tree,2000,10,oracle,oracle,default,default,50,-0.0035922675996410414,0.019860017079741554,0.01973073568092189,0.02235350673813989,1.0,0.08762413626985525,0.0,0.0,0.0,1.0,-0.0035922675996409347,1.5737973153591156e-05,0.0027903473995558484,0.0
stage3b_confirmation,tree,2000,10,oracle,tabiclv2_1,default,default,50,-0.15651361814770026,0.15790517200140017,0.021129597171750496,0.021945382436715507,0.0,0.0860243184058405,0.0,0.1816955160729924,0.0,0.846354210967316,-0.0028678291150163802,2.0247431238461284,0.002988176288776974,0.0
stage3b_confirmation,tree,2000,10,oracle,xgboost,default,default,50,-0.1152055649005932,0.11696233725239165,0.020400734067359868,0.022249168095519578,0.0,0.08721513630639201,0.0,0.12741810609129595,0.0,0.8870776088274233,-0.0022831737280163723,27.13068422802724,0.002885099480042716,0.0
stage3b_confirmation,tree,2000,10,oracle,xgboost_tuned,default,5acbb6540a19,50,-0.11907344007578158,0.12101004082624923,0.021781518314653962,0.022232763058963344,0.0,0.08715082974476142,0.0,0.132137528302747,0.0,0.8834112942777672,-0.0024847343535487365,1.0297278019506484,0.003080371860966159,0.0
stage3b_confirmation,tree,2000,10,tabiclv2_1,extra_trees,default,b9229924fb46,50,-0.10322773881149305,0.10562744159935473,0.02261456905091105,0.022986758137371804,0.02,0.09010643614116352,0.24276684668148477,0.2013816423404597,0.0794527314427587,0.8985235413991086,-0.0017512802106014868,7.507819919995963,0.0031981830259021258,0.01979898987322333
stage3b_confirmation,tree,2000,10,tabiclv2_1,oracle,default,default,50,-0.002030224592965646,0.024902423017256085,0.025071507127115103,0.024982463159401697,0.92,0.09792945607505209,0.24276684668148477,0.0,0.0,1.0,-0.002030224592965537,2.020915870023891,0.0035456465408299893,0.038366652186501746
stage3b_confirmation,tree,2000,10,tabiclv2_1,tabiclv2_1,default,default,50,-0.09281621947092633,0.09575021004980427,0.023760113372110862,0.02307669487952868,0.06,0.09045898169219217,0.24276684668148477,0.1816955160729924,0.0739029685322671,0.9088653321727613,-0.0016815516436879086,4.0456432558968665,0.003360187457436151,0.03358571124749333
stage3b_confirmation,tree,2000,10,tabiclv2_1,xgboost,default,default,50,-0.0612356684047175,0.06598530985186611,0.024831144681593528,0.023600610948991435,0.26,0.09251269494632978,0.24276684668148477,0.12741810609129595,0.059283783038843525,0.9396167797929484,-0.0008524481976661402,29.151584360077976,0.0035116541577958115,0.06203224967708329
stage3b_confirmation,tree,2000,10,tabiclv2_1,xgboost_tuned,default,5acbb6540a19,50,-0.06726372491008359,0.07202677366179337,0.026018977284404096,0.023610902511030454,0.2,0.09255303712821203,0.24276684668148477,0.132137528302747,0.057148801349911356,0.9338415619004442,-0.0011052868105278103,3.050627934001386,0.0036796390554681754,0.05656854249492381
stage3b_confirmation,tree,2000,10,xgboost,extra_trees,default,b9229924fb46,50,-0.12102130531461541,0.12298493854696749,0.02211147013609866,0.0236417703138654,0.0,0.09267403669188878,0.28298680709238244,0.2013816423404597,0.05901331366730234,0.8815021198781001,-0.0025234251927156804,32.7015319400467,0.0031270340950478393,0.0
stage3b_confirmation,tree,2000,10,xgboost,oracle,default,default,50,-0.003025845782386849,0.023877572719327854,0.0239255378944503,0.02537927131659798,0.98,0.09948491546880497,0.28298680709238244,0.0,0.0,1.0,-0.0030258457823868225,27.214627890074624,0.0033835820177403036,0.019798989873223337
stage3b_confirmation,tree,2000,10,xgboost,tabiclv2_1,default,default,50,-0.11319617572837481,0.11536524480252135,0.022491846795267553,0.02378940607662793,0.0,0.0932527582475781,0.28298680709238244,0.1816955160729924,0.05073116047308467,0.8892414354963255,-0.00243761122470028,29.239355275947602,0.0031808274780685208,0.0
stage3b_confirmation,tree,2000,10,xgboost,xgboost,default,default,50,-0.049354265617811754,0.05496586464407353,0.024440739271132675,0.02371158401246901,0.46,0.09294770136166998,0.28298680709238244,0.12741810609129595,0.07369778407326143,0.9523994769744646,-0.0017537425922763172,54.34529638012871,0.003456442495166054,0.07048404074682439
stage3b_confirmation,tree,2000,10,xgboost,xgboost_tuned,default,5acbb6540a19,50,-0.05725838051842791,0.06280587990136328,0.02607008627838888,0.023746456904795692,0.32,0.09308440058766408,0.28298680709238244,0.132137528302747,0.06948678475996607,0.9447413644200974,-0.001999744938525416,28.24433995405212,0.003686866958713428,0.06596969000988256
