candidate,candidate_group,learner_kind,training_target,config_hash,replications,mean_validation_d_mse,mean_validation_m0_mse,mean_runtime_seconds
extra_f10_leaf5,extra_trees,extra_trees,d,b9229924fb46,10,1.1871614494151477,0.2078247658936335,1.088336280034855
extra_f10_leaf2,extra_trees,extra_trees,d,590460668ce3,10,1.198080301924687,0.21840731321184198,1.5856902399566024
extra_f10_leaf1,extra_trees,extra_trees,d,f8237fdb3472,10,1.2108896758520953,0.22904924162581422,2.3874446799978615
extra_f05_leaf1,extra_trees,extra_trees,d,a410a95ceccb,10,1.2158530151975928,0.24033247974818037,1.3544809600804002
extra_f05_leaf2,extra_trees,extra_trees,d,7164c4218b19,10,1.2199205329476448,0.240789238446542,1.0602258199825882
extra_f05_leaf5,extra_trees,extra_trees,d,faff5e463776,10,1.2446214190735658,0.26663204131100354,0.8092770399991422
current_xgboost_m0_diagnostic,oracle_target_diagnostic,xgboost,m0,cf351ca11713,10,1.0167867846768694,0.019434689837123823,3.656593779986724
tabiclv2_1_m0_diagnostic,oracle_target_diagnostic,tabiclv2_1,m0,819d3237cf46,10,1.0805779867418825,0.09193848932520161,0.37200653995387256
tabiclv2_8,tab_baseline,tabiclv2_8,d,2d1d100f41aa,10,1.1721388074825303,0.19485913569100588,0.6903296899516136
tabiclv2_1,tab_baseline,tabiclv2_1,d,d00af0b4fe70,10,1.172405592316491,0.1931761017605744,0.7147345799487084
current_xgboost,xgb_baseline,xgboost,d,ed843026d351,10,1.1297849867916823,0.14046778873590246,3.7403323999606073
xgb_d2_lr003_leaf1,xgboost_tuned,xgboost,d,5acbb6540a19,10,1.1334574372628452,0.14681728951252698,0.19511437993496655
xgb_d2_lr005_leaf5,xgboost_tuned,xgboost,d,563a75aaf6cf,10,1.1357951105925375,0.14506479988076118,0.1501247899606824
xgb_d3_lr003_leaf5,xgboost_tuned,xgboost,d,7b99317114b9,10,1.1455002226174633,0.15353381718802697,0.2844720199238509
xgb_d3_lr005_leaf10,xgboost_tuned,xgboost,d,c6c938b51c8b,10,1.1583783437658683,0.16818506401144412,0.21141824005171655
xgb_d4_lr003_leaf5,xgboost_tuned,xgboost,d,a29addfe5c69,10,1.1798330475155596,0.18411403742340507,0.42572937994264065
xgb_d5_lr003_leaf10,xgboost_tuned,xgboost,d,817e6fc2ff25,10,1.1994919470316576,0.20659086510296035,0.5491562099196017
