stage,scenario,n,p,learner_l,learner_m,learner_l_config_hash,learner_m_config_hash,success_count,bias,rmse,empirical_sd,mean_standard_error,coverage,mean_interval_length,mean_l_mse,mean_m_mse,mean_lm_error_cross,mean_theta_proxy,mean_proxy_error,mean_runtime_seconds,bias_mcse,coverage_mcse
stage3b_tree_simple_confirmation,tree_simple,2000,10,oracle,extra_trees,default,b9229924fb46,50,-0.08616314275996717,0.0894334928037932,0.0242070672934717,0.022243749992313138,0.06,0.08719389773209371,0.0,0.09012493592105107,0.0,0.9173708903639951,-0.003534033123962321,5.236624040000898,0.003423396287170585,0.03358571124749333
stage3b_tree_simple_confirmation,tree_simple,2000,10,oracle,oracle,default,default,50,-0.004781403272304918,0.024783990590956522,0.024565289356811786,0.0222424929619532,0.9,0.08718897026362782,0.0,0.0,0.0,1.0,-0.004781403272304994,1.6298001864925026e-05,0.003474056537202267,0.04242640687119285
stage3b_tree_simple_confirmation,tree_simple,2000,10,oracle,tabiclv2_1,default,default,50,-0.0498805259553855,0.05568969659955267,0.025015820254887675,0.022300101332730828,0.34,0.08741479092749216,0.0,0.04690812697933194,0.0,0.9552173150732819,-0.005097841028667274,2.0916496500006176,0.0035377712278349726,0.0669925368977769
stage3b_tree_simple_confirmation,tree_simple,2000,10,oracle,xgboost,default,default,50,-0.07386677188572888,0.07737386590125096,0.023264563919702882,0.02225882361356335,0.12,0.08725298524162776,0.0,0.07484684412814432,0.0,0.9303903304737325,-0.004257102359461402,27.858810080004915,0.003290106181793959,0.04595650117230423
stage3b_tree_simple_confirmation,tree_simple,2000,10,oracle,xgboost_tuned,default,5acbb6540a19,50,-0.06646136800049784,0.07051077409554424,0.023790236100759143,0.022281975315589286,0.16,0.08734373824593103,0.0,0.06593225362782912,0.0,0.9381691124427773,-0.004630480443275366,1.019092475998914,0.0033644474545751596,0.05184592558726288
stage3b_tree_simple_confirmation,tree_simple,2000,10,tabiclv2_1,extra_trees,default,b9229924fb46,50,-0.03286122739498121,0.040771572093949916,0.024379248977807546,0.02256441414701358,0.68,0.08845087812078538,0.14285789738155277,0.09012493592105107,0.05881586053080185,0.9713034918201428,-0.004164719215124016,7.3449077020032565,0.0034477464544885846,0.06596969000988256
stage3b_tree_simple_confirmation,tree_simple,2000,10,tabiclv2_1,oracle,default,default,50,-0.005481791661713142,0.025060010320280827,0.024701360729067215,0.023790333351306495,0.94,0.09325639309752562,0.14285789738155277,0.0,0.0,1.0,-0.005481791661713135,2.108299960004224,0.0034932999352117015,0.03358571124749334
stage3b_tree_simple_confirmation,tree_simple,2000,10,tabiclv2_1,tabiclv2_1,default,default,50,-0.0022108448278278514,0.024762562110943007,0.02491406961418358,0.022732500229351835,0.88,0.08910976345615623,0.14285789738155277,0.04690812697933194,0.050767312248024374,1.003690478441503,-0.005901323269330754,4.199933312002977,0.003523381514228584,0.04595650117230423
stage3b_tree_simple_confirmation,tree_simple,2000,10,tabiclv2_1,xgboost,default,default,50,-0.03340641885784634,0.04078354158857831,0.0236321392107215,0.022854431030502827,0.7,0.08958772341388034,0.14285789738155277,0.07484684412814432,0.04427824316268469,0.9715739475452914,-0.004980366403137788,29.967093742007272,0.0033420891779691354,0.06480740698407861
stage3b_tree_simple_confirmation,tree_simple,2000,10,tabiclv2_1,xgboost_tuned,default,5acbb6540a19,50,-0.02819852916582133,0.03712264341387362,0.024389141254680287,0.02292326869953095,0.74,0.08985756211802999,0.14285789738155277,0.06593225362782912,0.0415929728823388,0.977179622911455,-0.005378152077276508,3.127376138001273,0.0034491454337002023,0.06203224967708329
stage3b_tree_simple_confirmation,tree_simple,2000,10,xgboost,extra_trees,default,b9229924fb46,50,-0.040567813514279405,0.04673713632978181,0.02344364538979606,0.02303863901053452,0.52,0.09030980542693433,0.16335005947518058,0.09012493592105107,0.049397791328779264,0.9626612430292215,-0.0032290565435010186,33.032087951997234,0.003315432126171507,0.07065408693062278
stage3b_tree_simple_confirmation,tree_simple,2000,10,xgboost,oracle,default,default,50,-0.004483358832348294,0.024323118238660003,0.02414906037028341,0.024085937025069296,0.94,0.09441513820607125,0.16335005947518058,0.0,0.0,1.0,-0.004483358832348121,27.795480209998203,0.0034151928694221437,0.03358571124749334
stage3b_tree_simple_confirmation,tree_simple,2000,10,xgboost,tabiclv2_1,default,default,50,-0.015440768945428118,0.028595139448930402,0.02431226814018139,0.02333296297251251,0.9,0.09146353415746232,0.16335005947518058,0.04690812697933194,0.03585744894709039,0.9894547346109129,-0.004895503556340988,29.88711356199696,0.0034382739335895823,0.04242640687119285
stage3b_tree_simple_confirmation,tree_simple,2000,10,xgboost,xgboost,default,default,50,-0.01146987459135218,0.025607026237943375,0.02312701771913083,0.022689425250848425,0.94,0.08894091264315315,0.16335005947518058,0.07484684412814432,0.0669347840332008,0.9926432560444188,-0.004113130635771158,55.65427399200125,0.0032706542115637704,0.03358571124749334
stage3b_tree_simple_confirmation,tree_simple,2000,10,xgboost,xgboost_tuned,default,5acbb6540a19,50,-0.009065731407100097,0.025010967613947294,0.023546762311349455,0.022820438195875207,0.92,0.08945447395067524,0.16335005947518058,0.06593225362782912,0.06106516592557389,0.9954377985976315,-0.00450353000473142,28.814556387995253,0.0033300150610686046,0.038366652186501746
