candidate,candidate_group,learner_kind,training_target,config_hash,replications,mean_validation_d_mse,mean_validation_m0_mse,mean_runtime_seconds
extra_f10_leaf5,extra_trees,extra_trees,d,b9229924fb46,10,1.088280199296547,0.09421747194130385,1.0855467799992766
extra_f10_leaf2,extra_trees,extra_trees,d,590460668ce3,10,1.1001085454643744,0.10802174868309589,1.5060527300011017
extra_f10_leaf1,extra_trees,extra_trees,d,f8237fdb3472,10,1.1112030437397953,0.11817596281249235,2.16461910999933
extra_f05_leaf2,extra_trees,extra_trees,d,7164c4218b19,10,1.1420197995390107,0.14512921918446392,1.0438969799986808
extra_f05_leaf1,extra_trees,extra_trees,d,a410a95ceccb,10,1.1434462941272598,0.14775651300306553,1.4879694500006735
extra_f05_leaf5,extra_trees,extra_trees,d,faff5e463776,10,1.164172542505273,0.16850945340837925,0.7420080299998517
current_xgboost_m0_diagnostic,oracle_target_diagnostic,xgboost,m0,cf351ca11713,10,1.003485798276398,0.005060436127310297,4.6694698199993585
tabiclv2_1_m0_diagnostic,oracle_target_diagnostic,tabiclv2_1,m0,819d3237cf46,10,1.0036937161514263,0.007615149412564456,0.38532919000135735
tabiclv2_1,tab_baseline,tabiclv2_1,d,d00af0b4fe70,10,1.0415490947592168,0.049657700568703514,0.7694723899985547
tabiclv2_8,tab_baseline,tabiclv2_8,d,2d1d100f41aa,10,1.0417142159927884,0.05107619919229574,0.7134293899987825
current_xgboost,xgb_baseline,xgboost,d,ed843026d351,10,1.0819612932024445,0.08616170870758748,4.997667850001017
xgb_d2_lr003_leaf1,xgboost_tuned,xgboost,d,5acbb6540a19,10,1.0692366121077197,0.07578257390089026,0.22914616999623832
xgb_d2_lr005_leaf5,xgboost_tuned,xgboost,d,563a75aaf6cf,10,1.0846522849623765,0.09015473991157345,0.16449834999802987
xgb_d3_lr003_leaf5,xgboost_tuned,xgboost,d,7b99317114b9,10,1.1126614128914971,0.11776354044164183,0.33418733999860706
xgb_d3_lr005_leaf10,xgboost_tuned,xgboost,d,c6c938b51c8b,10,1.1379776278424294,0.13985811817859764,0.2476792100002058
xgb_d4_lr003_leaf5,xgboost_tuned,xgboost,d,a29addfe5c69,10,1.147461225449237,0.15476612322049318,0.53399695000262
xgb_d5_lr003_leaf10,xgboost_tuned,xgboost,d,817e6fc2ff25,10,1.1661025672855545,0.1755353827653522,0.6618975799996406
