learner_l,learner_m,bias_baseline,rmse_baseline,coverage_baseline,mean_l_mse_baseline,mean_m_mse_baseline,mean_lm_error_cross_baseline,bias_candidate,rmse_candidate,coverage_candidate,mean_l_mse_candidate,mean_m_mse_candidate,mean_lm_error_cross_candidate,bias_delta,rmse_delta,coverage_delta,mean_l_mse_delta,mean_m_mse_delta,mean_lm_error_cross_delta
oracle,extra_trees,-0.1705583710692542,0.1716946926610579,0.0,0.0,0.2013816423404597,0.0,-0.08616314275996717,0.0894334928037932,0.06,0.0,0.09012493592105107,0.0,0.08439522830928703,-0.08226119985726471,0.06,0.0,-0.11125670641940862,0.0
oracle,oracle,-0.003592267599641,0.0198600170797415,1.0,0.0,0.0,0.0,-0.004781403272304918,0.024783990590956522,0.9,0.0,0.0,0.0,-0.001189135672663918,0.004923973511215023,-0.09999999999999998,0.0,0.0,0.0
oracle,tabiclv2_1,-0.1565136181477002,0.1579051720014001,0.0,0.0,0.1816955160729924,0.0,-0.0498805259553855,0.05568969659955267,0.34,0.0,0.04690812697933194,0.0,0.1066330921923147,-0.10221547540184744,0.34,0.0,-0.13478738909366045,0.0
oracle,xgboost,-0.1152055649005932,0.1169623372523916,0.0,0.0,0.1274181060912959,0.0,-0.07386677188572888,0.07737386590125096,0.12,0.0,0.07484684412814432,0.0,0.04133879301486432,-0.03958847135114063,0.12,0.0,-0.052571261963151567,0.0
oracle,xgboost_tuned,-0.1190734400757815,0.1210100408262492,0.0,0.0,0.132137528302747,0.0,-0.06646136800049784,0.07051077409554424,0.16,0.0,0.06593225362782912,0.0,0.05261207207528365,-0.050499266730704956,0.16,0.0,-0.06620527467491788,0.0
tabiclv2_1,extra_trees,-0.103227738811493,0.1056274415993547,0.02,0.2427668466814847,0.2013816423404597,0.0794527314427587,-0.03286122739498121,0.040771572093949916,0.68,0.14285789738155277,0.09012493592105107,0.05881586053080185,0.07036651141651179,-0.06485586950540478,0.66,-0.09990894929993194,-0.11125670641940862,-0.020636870911956852
tabiclv2_1,oracle,-0.0020302245929656,0.024902423017256,0.92,0.2427668466814847,0.0,0.0,-0.005481791661713142,0.025060010320280827,0.94,0.14285789738155277,0.0,0.0,-0.0034515670687475424,0.00015758730302482815,0.019999999999999907,-0.09990894929993194,0.0,0.0
tabiclv2_1,tabiclv2_1,-0.0928162194709263,0.0957502100498042,0.06,0.2427668466814847,0.1816955160729924,0.0739029685322671,-0.0022108448278278514,0.024762562110943007,0.88,0.14285789738155277,0.04690812697933194,0.050767312248024374,0.09060537464309845,-0.0709876479388612,0.8200000000000001,-0.09990894929993194,-0.13478738909366045,-0.02313565628424273
tabiclv2_1,xgboost,-0.0612356684047175,0.0659853098518661,0.26,0.2427668466814847,0.1274181060912959,0.0592837830388435,-0.03340641885784634,0.04078354158857831,0.7,0.14285789738155277,0.07484684412814432,0.04427824316268469,0.02782924954687116,-0.025201768263287787,0.43999999999999995,-0.09990894929993194,-0.052571261963151567,-0.01500553987615881
tabiclv2_1,xgboost_tuned,-0.0672637249100835,0.0720267736617933,0.2,0.2427668466814847,0.132137528302747,0.0571488013499113,-0.02819852916582133,0.03712264341387362,0.74,0.14285789738155277,0.06593225362782912,0.0415929728823388,0.03906519574426218,-0.03490413024791968,0.54,-0.09990894929993194,-0.06620527467491788,-0.015555828467572502
xgboost,extra_trees,-0.1210213053146154,0.1229849385469674,0.0,0.2829868070923824,0.2013816423404597,0.0590133136673023,-0.040567813514279405,0.04673713632978181,0.52,0.16335005947518058,0.09012493592105107,0.049397791328779264,0.080453491800336,-0.07624780221718559,0.52,-0.1196367476172018,-0.11125670641940862,-0.009615522338523037
xgboost,oracle,-0.0030258457823868,0.0238775727193278,0.98,0.2829868070923824,0.0,0.0,-0.004483358832348294,0.024323118238660003,0.94,0.16335005947518058,0.0,0.0,-0.0014575130499614943,0.0004455455193322043,-0.040000000000000036,-0.1196367476172018,0.0,0.0
xgboost,tabiclv2_1,-0.1131961757283748,0.1153652448025213,0.0,0.2829868070923824,0.1816955160729924,0.0507311604730846,-0.015440768945428118,0.028595139448930402,0.9,0.16335005947518058,0.04690812697933194,0.03585744894709039,0.09775540678294668,-0.0867701053535909,0.9,-0.1196367476172018,-0.13478738909366045,-0.014873711525994204
xgboost,xgboost,-0.0493542656178117,0.0549658646440735,0.46,0.2829868070923824,0.1274181060912959,0.0736977840732614,-0.01146987459135218,0.025607026237943375,0.94,0.16335005947518058,0.07484684412814432,0.0669347840332008,0.03788439102645952,-0.029358838406130124,0.4799999999999999,-0.1196367476172018,-0.052571261963151567,-0.006763000040060599
xgboost,xgboost_tuned,-0.0572583805184279,0.0628058799013632,0.32,0.2829868070923824,0.132137528302747,0.069486784759966,-0.009065731407100097,0.025010967613947294,0.92,0.16335005947518058,0.06593225362782912,0.06106516592557389,0.048192649111327805,-0.03779491228741591,0.6000000000000001,-0.1196367476172018,-0.06620527467491788,-0.00842161883439211
